#,headAR,bodyAR,headDV,bodyDV,footAR,footDV,headEN-HDN,bodyEN-HDN
127,٣٦ - دُعَاءُ لِقَاءِ الْعَدُوِّ وَذِي السُّلْطَانِ,١٢٧ - اللَّهُمَّ أَنْتَ عَضُدِي، وَأَنْتَ نَصِيرِي، بِكَ أَحُولُ وَبِكَ أَصُولُ، وَبِكَ أُقاتِلُ,𝟥𝟨 - އަދުއްވަކު ނުވަތަ ބާރުވެރިކަން ހުރި ފަރާތަކާ ބައްދަލު ވާނަމަ,"""ޔާ ﷲ! އިބަ ﷲ އީ މި އަޅާގެ ވާގިވެރިޔާއެވެ. އަދި އިބަ ﷲ އީ މި އަޅާގެ މަދަދުވެރިޔާއެވެ. މި އަޅާ ހަރަކާތްކުރަނީ ހަމައެކަނި އިބަ ﷲ ގެ ވާގިފުޅުންނެވެ. އަދި މި އަޅާ (ދުޝްމިނުންނަށް) ހަމަލާދެނީވެސް ހަމައެކަނި އިބަ ﷲ ގެ ވާގިފުޅުންނެވެ. އަދި މި އަޅާ (ކާފިރުންނާ) ހަނގުރާމަކުރަނީވެސް ހަމައެކަނި އިބަ ﷲ ގެ ވާގިފުޅުންނެވެ.""",,,𝟥𝟨 Upon encountering an enemy or those of authority,"O Allah, You are my strength and You are my support. For Your sake, I go forth and for Your sake, I advance and for Your sake, I fight."
128,٣٦ - دُعَاءُ لِقَاءِ الْعَدُوِّ وَذِي السُّلْطَانِ,١٢٨ - حَسْبُنا اللَّهُ وَنِعْمَ الْوَكِيلُ,𝟥𝟨 - އަދުއްވަކު ނުވަތަ ބާރުވެރިކަން ހުރި ފަރާތަކާ ބައްދަލު ވާނަމަ,"""އަޅަމެންނަށް ﷲ ފުދެއެވެ. އަދި ވަކީލުކުރެވޭ ފަރާތެއްގެގޮތުން އެއީ ކިހާރަނގަޅު ފަރާތެއްހެއްޔެވެ!""",,,𝟥𝟨 Upon encountering an enemy or those of authority,Allah is sufficient for us and the best of those on whom to depend.
129,٣٧ - دُعَاءُ مَنْ خَافَ ظُلْمَ السُّلْطَانِ,١٢٩ - اللَّهُمَّ ربَّ السَّمَوَاتِ السَّبْعِ، وَرَبَّ الْعَرْشِ الْعَظِيمِ، كُنْ لِي جَاراً مِنْ فُلاَنِ بْنِ فُلاَنٍ، وَأَحْزَابِهِ مِنْ خَلاَئِقِكَ، أَنْ يَفْرُطَ عَلَيَّ أَحَدٌ مِنْهُمْ أَوْ يَطْغَى، عَزَّ جَارُكَ، وَجَلَّ ثَنَاؤُكَ، وَلَا إِلَهَ إِلاَّ أَنْتَ,𝟥𝟩 - ވެރިއެއްގެ އަނިޔާވެރިކަމާމެދު ބިރުގަނެފި ނަމަ ކިޔާ ދުއާ,"""ޔާ ﷲ! ހަތްއުޑާއި މަތިވެރި ޢަރުޝުގެ ރައްބެވެ! މިވެނިމީހެއްގެ ދަރި އެވެނިމީހާގެ ކިބައިން މި އަޅާއަށް ރައްކާތެރިކަން ދެއްވާ ފަރާތެއްކަމުގައި ވޮޑިގަންނަވާނދޭވެ! އަދި އިބަ ﷲ ގެ މަޚްލޫގުންގެ ތެރެއިން އޭނާގެ ޖަމާއަތްތަކުން އެއްވެސް މީހަކު މި އަޅާއަށް އަނިޔާވެރިވުމުންނާއި ނުބައިކަމުގައި ހައްދުފަހަނަޅައިދިއުމުން މި އަޅާ ރައްކާތެރިކޮށްދެއްވާ ފަރާތެއްކަމުގައި ވޮޑިގަންނަވާނދޭވެ! އިބަ ﷲ ގެ ރައްކާތެރިކަން ގަދަފަދައެވެ. އަދި އިބަ ﷲ ގެ ސަނާ މަތިވެރިއެވެ. އަދި އިބަ ﷲ ފިޔަވައި އަޅުކަންވެވުން ހައްގުވެގެންވާ އެހެން އެއްވެސް އިލާހަކު ނުވެއެވެ.""",,,𝟥𝟩 For one afraid of the ruler's injustice,"O Allah, Lord of the seven heavens, Lord of the Magnificent Throne, be for me a support against [such and such a person] and his helpers from among your creatures, lest any of them abuse me or do me wrong. Mighty is Your patronage, and glorious are Your praises. There is none worthy of worship but You."
130,٣٧ - دُعَاءُ مَنْ خَافَ ظُلْمَ السُّلْطَانِ,١٣٠ - اللَّهُ أَكْبَرُ، اللَّهُ أَعَزُّ مِنْ خَلْقِهِ جَمِيعاً، اللَّهُ أَعَزُّ مِمَّا أَخَافُ وَأَحْذَرُ، أَعُوذُ بِاللَّهِ الَّذِي لَا إِلَهَ إِلاَّ هُوَ، الْمُمْسِكِ السَّمَوَاتِ السَّبْعِ أَنْ يَقَعْنَ عَلَى الْأَرْضِ إِلاَّ بِإِذْنِهِ، مِنْ شَرِّ عَبْدِكَ فُلاَنٍ، وَجُنُودِهِ وَأَتْبَاعِهِ وَأَشْيَاعِهِ، مِنْ الْجِنِّ وَالإِنْسِ، اللَّهُمَّ كُنْ لِي جَاراً مِنْ شَرِّهِمْ، جَلَّ ثَنَاؤُكَ وَعَزَّ جَارُكَ، وَتَبَارَكَ اسْمُكَ، وَلَا إِلَهَ غَيْرُكَ)) (ثلاثَ مرَّاتٍ),𝟥𝟩 - ވެރިއެއްގެ އަނިޔާވެރިކަމާމެދު ބިރުގަނެފި ނަމަ ކިޔާ ދުއާ,"(ތިންފަހަރު) ""އެންމެ ބޮޑީ ﷲ އެވެ. ﷲ، އެ އިލާހުގެ ހުރިހާ މަޚްލޫގުންނަށްވުރެ ކަށަކުޅަދުންވަންތަވެ އިއްޒަތްތެރިވެވޮޑިގެންވެއެވެ. މި އަޅާ ބިރުގަންނަ އަދި ޖެހިލުންވާ ހުރިހާ އެއްޗަކަށްވުރެ ﷲ ކަށަކުޅަދުންވަންތަވެ އިއްޒަތްތެރިވެ ވޮޑިގެންވެއެވެ. އިބަ ﷲ ގެ މިވެނި އެވެނި އަޅާގެ ނުބައިކަމުންނާއި، ޖިންނީންނާއި އިންސާނުންގެ ތެރެއިންވާ އޭނާގެ ލަޝްކަރާއި، އޭނާގެ އެކުވެރިންނާއި އަދި އޭނާގެ ޖަމާއަތްތަކުގެ ނުބައިކަމުން ރައްކާތެރިކަން ﷲ ގެ ހަޒްރަތުން މި އަޅާ ލިބިގަންނަމެވެ. އެ އިލާހީ އެ އިލާހު ފިޔަވައި އަޅުކަންވެވުން ހައްގުވެގެންވާ އެހެން އެއްވެސް އިލާހަކުނުވާ އިލާހެވެ. (އެ އިލާހީ) އެ އިލާހުގެ އިޒުނަފުޅާނުލައި، ބިންމައްޗަށް ހަތްއުޑު ވެއްޓުނަނުދީ ހިފަހައްޓަވާ އިލާހެވެ. ޔާ ﷲ! އެބައިމީހުންގެ ނުބައިކަމުން މި އަޅާ ރައްކާތެރިކޮށްދެއްވާ ފަރާތެއްކަމުގައި ވޮޑިގަންނަވާނދޭވެ! އިބަ ﷲ ގެ ސަނާ މަތިވެރިއެވެ. އިބަ ﷲ ގެ ރައްކާތެރިކަން ގަދަފަދައެވެ. އަދި އިބަ ﷲ ގެ އިސްމުފުޅު ބަރަކާތްތެރިއެވެ. އަދި އިބަ ﷲ ފިޔަވައި އަޅުކަންވެވުން ހައްގުވެގެންވާ އެހެން އެއްވެސް އިލާހަކު ނުވެއެވެ.""",,,𝟥𝟩 For one afraid of the ruler's injustice,"Allah is the Most Great, Mightier than all His creation. He is Mightier than what I fear and dread. I seek refuge in Allah, Who there is none worthy of worship but Him. He is the One Who holds the seven heavens from falling upon the earth except by His command. [I seek refuge in You Allah] from the evil of Your slave [name of the person], and his helpers, his followers, and his supporters from among the jinn and mankind. O Allah, be my support against their evil. Glorious are Your praises and mighty is Your patronage. Blessed is Your Name, there is no true God but You. (Recite three times in Arabic.)"
131,٣٨ - الدُّعَاءُ عَلَى الْعَدُوِّ,١٣١ - اللَّهُمَّ مُنْزِلَ الْكِتَابِ، سَرِيعَ الْحِسَابِ، اهْزِمِ الأَحْزَابَ، اللَّهُمَّ اهزِمْهُمْ وَزَلْزِلْهُمْ,𝟥𝟪 - އަދުއްވަކާ ދެކޮޅަށް ކުރާ ދުއާ,"""ޔާ ﷲ! ފޮތް ބާވައިލައްވާ އިލާހެވެ! ހިސާބުބެއްލެވުމަށް އަވަސްވެވޮޑިގެންވާ އިލާހެވެ! (ދުޝްމިނުންގެ) ޖަމާއަތްތައް ބަލިކުރައްވާނދޭވެ! ޔާ ﷲ! އެބައިމީހުން ބަލިކުރައްވާނދޭވެ! އަދި އެބައިމީހުންގެ ސާބިތުކަން ނެތިކޮށްލައްވާނދޭވެ!""",,,𝟥𝟪 Against enemies,"O Allah, Revealer of the Book, Swift to account, defeat the groups (of disbelievers). O Allah, defeat them and shake them."
132,٣٩ - مَا يَقُولُ مَنْ خَافَ قَوْماً,١٣٢ - اللَّهُمَّ اكْفِنِيهِمْ بِمَا شِئْتَ,𝟥𝟫 - ބަޔަކުދެކެ ބިރުގަނެފި ނަމަ ކިޔާ ދުއާ,"""ޔާ ﷲ! އިބަ ﷲ އެދިވޮޑިގަންނަވާ ގޮތަކަށް އެބައިމީހުންގެ ކިބައިން މި އަޅާއަށް ފުއްދަވާދެއްވާނދޭވެ!""",,,𝟥𝟫 When being afraid of a group of people,"O Allah, suffice (i.e. protect) me against them however You wish."
133,٤٠ - دُعَاءُ مَنْ أَصَابَهُ وَسْوَسَةٌ فِي الإِيمَانِ,"١٣٣ - يَسْتَعِيذُ بِاللَّهِ

يَنْتَهِي عَمَّا وَسْوَسَ فِيهِ",𝟦𝟢 - އީމާންކަމުގައި ޝައްކާއި ވަސްވާސް އުފެދިއްޖެ ނަމަ ކިޔާ ދުއާ,ﷲ ގެ ހަޒްރަތުން ރައްކާތެރިކަމަށް އެދޭށެވެ. ޝައްކުވީ ކަންތައްކުރުން ހުއްޓައިލާށެވެ.,,,𝟦𝟢 For one afflicted with doubt in his faith,(Say:) I seek refuge in Allah. (Then you should desist from doing what you are in doubt about.)
134,٤٠ - دُعَاءُ مَنْ أَصَابَهُ وَسْوَسَةٌ فِي الإِيمَانِ,١٣٤ - يَقُولُ: ((آمَنْتُ بِاللَّهِ وَرُسُلِهِ)),𝟦𝟢 - އީމާންކަމުގައި ޝައްކާއި ވަސްވާސް އުފެދިއްޖެ ނަމަ ކިޔާ ދުއާ,"""ﷲ އަށާއި އެ އިލާހުގެ ރަސޫލުންނަށް އަހުރެން އީމާންވެއްޖައީމެވެ.""",,,𝟦𝟢 For one afflicted with doubt in his faith,(Say:) I believe in Allah and His Messengers.
135,٤٠ - دُعَاءُ مَنْ أَصَابَهُ وَسْوَسَةٌ فِي الإِيمَانِ,١٣٥ - ((يَقْرَأُ قَوْلَهُ تَعَالَى: {هُوَ الْأوَّلُ وَالْآخِرُ وَالظّاهِرُ وَالْباطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ})),𝟦𝟢 - އީމާންކަމުގައި ޝައްކާއި ވަސްވާސް އުފެދިއްޖެ ނަމަ ކިޔާ ދުއާ,"""އެ އިލާހީ އެންމެފުރަތަމަ ވޮޑިގެންވީ ފަރާތެވެ. އަދި އެންމެފަހުން ވޮޑިގެންވާނެ ފަރާތެވެ. އަދި ހުރިހާ އެއްޗެއްގެ މައްޗަށް ވެރިވެވޮޑިގެންވާ ފަރާތެވެ. އަދި ވަންހަނާވެވޮޑިގެންވާ ފަރާތެވެ. އަދި އެ އިލާހީ ހުރިހާ އެއްޗެއް ދެނެވޮޑިގެންވާ އިލާހެވެ.""",,,𝟦𝟢 For one afflicted with doubt in his faith,"(Recite the Ayat) He is the First and the Last, the Most High and the Most Near. And He is the Knower of all things (in Arabic)."
136,٤١ - دُعَاءُ قَضَاءِ الدَّيْنِ,١٣٦ - اللَّهُمَّ اكْفِنِي بِحَلاَلِكَ عَنْ حَرَامِكَ، وَأَغْنِنِي بِفَضْلِكَ عَمَّنْ سِوَاكَ,𝟦𝟣 - ދަރަނި އަދާކުރެވޭތޯ ކިޔާ ދުއާ,"""ޔާ ﷲ! އިބަ ﷲ ހަލާލުކުރެއްވި ތަކެތީގެ ޒަރިއްޔާއިން އިބަ ﷲ ހަރާމްކުރެއްވި ތަކެތިން (މި އަޅާ ދުރުކުރައްވައި) މި އަޅާ ފުދުންތެރިކުރައްވާނދޭވެ! އަދި އިބަ ﷲ ގެ ފަޟުލުވަންތަކަމުގެ ޒަރިއްޔާއިން އިބަ ﷲ ފިޔަވައި އެހެންފަރާތްތަކުން (އެދުމުން) މި އަޅާއަށް ފުދުންތެރިކަން ދެއްވާނދޭވެ!""",,,𝟦𝟣 Settling a debt,"O Allah, suffice me with what You have allowed instead of what You have forbidden, and make me independent of all others besides You."
137,٤١ - دُعَاءُ قَضَاءِ الدَّيْنِ,١٣٧ - اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْهَمِّ وَالْحَزَنِ، وَالْعَجْزِ وَالْكَسَلِ، وَالْبُخْلِ وَالْجُبْنِ، وَضَلَعِ الدَّيْنِ وَغَلَبَةِ الرِّجَالِ,𝟦𝟣 - ދަރަނި އަދާކުރެވޭތޯ ކިޔާ ދުއާ,"""ޔާ ﷲ! ހަމަކަށަވަރުން މި އަޅާ ފިކުރު ބޮޑުވުމުންނާއި، ހިތާމައިންނާއި، ނުކުޅެދުމުންނާއި، ކަންނެތްކަމުންނާއި، ބަޚީލުކަމުންނާއި، ފިނޑިކަމުންނާއި، ދަރަނީގެ ބުރައިންނާއި އަދި މީސްތަކުން މި އަޅާގެ މައްޗަށް ގަދަވެގަތުމުން ރައްކާތެރިކޮށްދެއްވުމަށް އިބަ ﷲ ގެ ހަޒްރަތުން އެދިދަންނަވަމެވެ.""",,,𝟦𝟣 Settling a debt,"O Allah! I seek refuge with You from worry and grief, from incapacity and laziness, from cowardice and miserliness, from being heavily in debt and from being overpowered by (other) men."
138,٤٢ - دُعَاءُ الوَسْوَسَةِ فِي الصَّلاَةِ وَالْقِرَاءَةِ,١٣٨ - ((أَعُوذُ بِاللَّهِ مِنَ الشَّيطَانِ الرَّجِيمِ، وَاتْفُلْ عَلَى يَسَارِكَ -ثلاثاً-)),𝟦𝟤 - ނަމާދުގައި ނުވަތަ ގުރްއާން ކިޔެވުމުގައި ވަސްވާހަކާ ކުރިމަތިލާން ޖެހިއްޖެނަމަ ކިޔާ ދުއާ,"""ރަހުމަތުން ދުރުކުރެވިފައިވާ ޝައިތާނާގެ ކިބައިން ރައްކާތެރިކޮށްދެއްވުމަށް ﷲ ގެ ހަޒްރަތުން ދަންނަވަމެވެ."" މިފަދައިން ކިޔާ ވާތްފަރާތަށް ތިންފަހަރު ދުލުގެކޮޅުން ކުޅުކޮޅެއްޖަހާށެވެ.""",,,𝟦𝟤 For one afflicted by whisperings in prayer or recitation,(Say:) I seek refuge in Allah from Satan the outcast (then blow with a little spittle to your left). (Do this three times reciting in Arabic.)
139,٤٣ - دُعَاءُ مَنِ اسْتَصْعَبَ عَلَيْهِ أَمْرٌ,١٣٩ - اللَّهُمَّ لَا سَهْلَ إِلاَّ مَا جَعَلْتَهُ سَهْلاً، وَأَنْتَ تَجْعَلُ الْحَزْنَ إِذَا شِئْتَ سَهْلاً,𝟦𝟥 - ކަމެއް ކުރަން އުނދަގޫވުމުން ކިޔާ ދުއާ,"""ޔާ ﷲ! އިބަ ﷲ ފަސޭހަކޮށްދެއްވި ކަމެއް މެނުވީ ފަސޭހެވެގެންނެއްނުވެއެވެ. އަދި އިބަ ﷲ އެދިވޮޑިގެންފިނަމަ، އުނދަގޫކަންތައް ފަސޭހަކަމެއްގެ ގޮތުގައި ލައްވަމުއެވެ.""",,,𝟦𝟥 For one whose affairs have become difficult,"O Allah, there is no ease other than what You make easy. If You please You ease sorrow."
140,٤٤ - مَا يَقُولُ وَيَفْعَلُ مَنْ أَذْنَبَ ذَنْباً,١٤٠ - مَا مِنْ عَبْدٍ يُذنِبُ ذَنْباً فَيُحْسِنُ الطُّهُورَ، ثُمَّ يَقُومُ فَيُصَلِّي رَكْعَتَيْنِ، ثُمَّ يَسْتَغْفِرُ اللَّهَ إِلاَّ غَفَرَ اللَّهُ لَهُ,𝟦𝟦 - ފާފައެއް ކުރެވުމުން ކުރަންވީ ކަންތަކާ ކިޔަންވީ ދުއާ,ފާފައެއްކުރެވުމުން ފަހެ ރަނގަޅަށް ވުޟޫކޮށް، ދެން ތެދުވެ ދެރަކުއަތް ނަމާދެއްކޮށް، ﷲ އަށް ފާފަފުއްސެވުމަށް އެދިދެންނެވުމުން، ﷲ އެ މީހަކަށް ފާފަ ފުއްސަވައިނުދެއްވާނެ ހަމަ އެއްވެސް އަޅަކުނުވެއެވެ.,,,𝟦𝟦 Upon committing a sin,"There is not any slave of Allah who commits a sin, then he perfects his purification and stands to pray two Rak'ahs of prayer, then seeks Allah's forgiveness, except that Allah will forgive him."
141,٤٥ - دُعَاءُ طَرْدِ الشَّيطَانِ وَوَسَاوِسِهِ,١٤١ - الْاسْتِعَاذَةُ بِاللَّهِ مِنْهُ,𝟦𝟧 - ޝައިތާނާއާއި އޭނާގެ ވަސްވާސްތަކުން ދުރުކޮށްދިނުން އެދި ކުރާ ދުއާ,އޭނާގެ ކިބައިން ރައްކާތެރިކޮށްދެއްވުމަށް ﷲ ގެ ހަޒްރަތުން އެދުން.,,,𝟦𝟧 For expelling the devil and his whisperings,Seeking refuge with Allah against him (i.e. by saying I seek refuge in Allah from Satan the outcast).
142,٤٥ - دُعَاءُ طَرْدِ الشَّيطَانِ وَوَسَاوِسِهِ,١٤٢ - الْأَذَانُ,𝟦𝟧 - ޝައިތާނާއާއި އޭނާގެ ވަސްވާސްތަކުން ދުރުކޮށްދިނުން އެދި ކުރާ ދުއާ,ބަންގިގޮވުން.,,,𝟦𝟧 For expelling the devil and his whisperings,The call to prayer - Azaan.
143,٤٥ - دُعَاءُ طَرْدِ الشَّيطَانِ وَوَسَاوِسِهِ,١٤٣ - الْأَذْكَارُ وَقِرَاءَةُ الْقُرْآنِ,𝟦𝟧 - ޝައިތާނާއާއި އޭނާގެ ވަސްވާސްތަކުން ދުރުކޮށްދިނުން އެދި ކުރާ ދުއާ,ޒިކުރުތައްކުރުމާއި ގުރްއާން ކިޔެވުން.,,,𝟦𝟧 For expelling the devil and his whisperings,Saying words of Allah's remembrance (Thikr) and recitation of the Qur'an.
144,٤٦ - الدُّعَاءُ حِينَمَا يَقَعُ مَا لَا يَرْضَاهُ أَوْ غُلِبَ عَلَى أَمْرِهِ,١٤٤ - قَدَرُ اللَّهُ وَمَا شَاءَ فَعَلَ,𝟦𝟨 - ހިތްހަމަ ނުޖެހޭ ކަމެއް ދިމާވެއްޖެ ނަމަ، ނުވަތަ ކުރަން އުޅޭ ކަމެއްގައި ނުކުޅަދުންތެރިވެއްޖެ ނަމަ ކިޔާ ދުއާ,"رسول الله ﷺ ޙަދީޘް ކުރެއްވިއެވެ. ""ގަދަފަދަ މުއުމިނާ ބަލިކަށި މުއުމިނާއަށްވުރެ ހެޔޮވެގެންވެއެވެ. އަދި ﷲ ގެ ހަޒްރަތަށް ލޮބުވެތިކަން ބޮޑުވެގެންވެއެވެ. އަދި (ދެމީހުންކުރެ) ކޮންމެމީހެއްގެ ކިބައިގައިވެސް ހެޔޮކަންތައްވެއެވެ. ތިބާއަށް ފައިދާކުރަނިވި ކަންތަކުގެ މައްޗަށް ތިބާ ދަހިވެތިވާށެވެ. އަދި ﷲ ގެ ހަޒްރަތުން މަދަދަށް އެދޭށެވެ. އަދި (ހެޔޮކަންތަކަށް) ނުކުޅެދިގެންވާ މީހެއްކަމުގައި ނުވާށެވެ. އަދި ތިބާއަށް މުސީބާތެއްޖެހިއްޖެނަމަ، ފަހެ ތިބާ ނުބުނާށެވެ. އަހުރެންނަށް މިވެނިއެވެނި ގޮތަކަށް ކަންތައްކުރެވުނުނަމައެވެ. އަދިކިއެއްތަ! ތިބާ މިފަދައިން ބުނާށެވެ. ""(މިއީ) ﷲ މިންވަރުކުރެއްވި ގޮތެވެ. އެ އިލާހު އިރާދަކުރެއްވިގޮތަށް ކަންތައްކުރައްވައިފިއެވެ."" އެހެނީ ހަމަކަށަވަރުން ""ނަމައޭ ކިޔުން"" ޝައިތާނާގެ އަމަލުތައް ހުޅުވައިދެއެވެ.",,,𝟦𝟨 When stricken with a mishap or overtaken by an affair,It is the Decree of Allah and He does whatever He wills.
145,٤٧ - تَهْنِئَةُ المَوْلُودِ لَهُ وَجَوَابُهُ,١٤٥ - ((بَارَكَ اللَّهُ لَكَ فِي الْمَوْهُوبِ لَكَ، وَشَكَرْتَ الْوَاهِبَ، وَبَلَغَ أَشُدَّهُ، وَرُزِقْتَ بِرَّهُ)) (2). وَيَرُدُّ عَلَيْهِ الْمُهَنَّأُ فَيَقُولُ: ((بَارَكَ اللَّهُ لَكَ وَبَارَكَ عَلَيْكَ، وَجَزَاكَ اللَّهُ خَيْراً، وَرَزَقَكَ اللَّهُ مِثْلَهُ، وَأَجْزَلَ ثَوَابَكَ)),𝟦𝟩 - ދަރިޔަކު ލިބޭ މީހާއަށް ކިޔާ ތަހުނިޔާ އަދި އެ ތަހުނިޔާގެ ޖަވާބު,"""ތިބާއަށް ލިބުނު ދަރިފުޅުގެ ކިބައިގައި، ﷲ ތިބާއަށް ބަރަކާތްލައްވާށިއެވެ! އަދި (ތިބާއަށް އެދަރިފުޅު) ދެއްވި ފަރާތަށް ތިބާ ޝުކުރުއަދާކުރާހުށިކަމެވެ. އަދި އެ ކުއްޖާ ޒުވާންއުމުރާ ހަމައަށް ފޯރާހުށިއެވެ! އަދި އެ ކުއްޖާ އިހުސާންތެރިވުމުގެ ތައުފީގު ތިބާއަށް ދެވޭހުށިއެވެ!"" 
 
 ދެން ތަހުނިޔާ ލިބުނުމީހާ ތަހުނިޔާކީމީހާއަށް މިފަދައިން ޖަވާބުދޭށެވެ. ""ﷲ ތިބާއަށް ބަރަކާތްލައްވާށިއެވެ! އަދި ތިބާގެ މައްޗަށް ބަރަކާތްލައްވާށިއެވެ! އަދި ﷲ ތިބާއަށް ހެޔޮޖަޒާދެއްވާށިއެވެ! އަދި ﷲ ތިބާއަށްވެސް އެފަދަ ދަރިއަކު ދެއްވާށިއެވެ! އަދި ތިބާގެ ސަވާބު ގިނަކޮށްދެއްވާށިއެވެ!""",,,𝟦𝟩 Congratulation on the occasion of a birth of a newborn and its reply,"May Allah bless you with His gift to you, and may you give thanks, may the child reach the maturity of years, and may you be granted its righteousness.

The reply of the person being congratulated is to say:

May Allah bless you, and shower His blessings upon you, and may Allah reward you well and bestow upon you its like and reward you abundantly"
146,٤٨ - مَا يُعوَّذُ بِهِ الأَوْلاَدُ,١٤٦ - كَانَ رَسُولُ اللَّهِ ﷺ يُعَوِّذُ الحَسَنَ وَالحُسَينَ - رضي الله عنهما - ((أُعِيذُكُمَا بِكَلِمَاتِ اللَّهِ التَّامَّةِ مِنْ كُلِّ شَيْطَانٍ وَهَامَّةٍ، وَمِنْ كُلِّ عَيْنٍ لاَمَّةٍ)),𝟦𝟪 - ދަރިން ރައްކާތެރި ކޮށްދިނުން އެދި ކިޔާ ދުއާ,"""ﷲ ރުއްސުންލެއްވި ޢަބްދު ﷲ ބުނު ޢައްބާސްގެ ކިބައިން ރިވާވެގެންވެއެވެ. އެކަލޭގެފާނު ވިދާޅުވިއެވެ. ރަސޫލު ﷲ ﷺ ޙަސަނުގެފާނަށާއި ޙުސައިނުގެފާނަށް، ﷲ ގެ ހަޒްރަތުން ރައްކާތެރިކަން ދެވުމަށް، މިކަލިމަފުޅުން ދަންނަވާކަމުގައިވިއެވެ. ""ﷲ ގެ ފުރިހަމަ ކަލިމަފުޅުތަކުން، އެންމެހާ ޝައިތާނުންނާއި، އެންމެހާ ވިހަލާސޫފިތަކާއި، އެންމެހާ އެސްފީނާލޮލަކުން ތިޔަދެކަލުންނަށް ރައްކާތެރިކަން ދެއްވުމަށް އެދެމެވެ.""",,,𝟦𝟪 Placing childen under Allah’s protection,"The Prophet (ﷺ) used to seek Allah's protection for Al-Hasan and Al-Husain by saying:

I seek protection for you in the Perfect Words of Allah from every devil and every beast, and from every envious blameworthy eye."
147,٤٩ - الدُّعَاءُ لِلْمَرِيضِ فِي عِيَادَتِهِ,١٤٧ - لَا بأْسَ طَهُورٌ إِنْ شَاءَ اللَّهُ,𝟦𝟫 - ބަލިމީހާއަށް ޒިޔާރަތް ކުރަންގޮސް ކިޔާ ދުއާ,"""މައްސަލައެއް ނެތެވެ. ތާހިރުކޮށްދޭނެ އެއްޗެކެވެ. އިން ޝާއަ ﷲ."" (އެބަހީ: ފާފަތަކުންނެވެ.)",,,𝟦𝟫 When visiting the sick,"Do not worry, it will be a purification (for you), Allah willing."
148,٤٩ - الدُّعَاءُ لِلْمَرِيضِ فِي عِيَادَتِهِ,١٤٨ - ((أَسْأَلُ اللَّهَ الْعَظيمَ رَبَّ الْعَرْشِ الْعَظِيمِ أَنْ يَشْفيَكَ)) (سبع مرات),𝟦𝟫 - ބަލިމީހާއަށް ޒިޔާރަތް ކުރަންގޮސް ކިޔާ ދުއާ,"(ހަތްފަހަރު) ""މަތިވެރި ޢަރުޝުގެވެރި، އަރަހުށި ﷲ ގެ ހަޒްރަތުން ތިބާއަށް ޝިފާދެއްވުމަށް އެދިދަންނަވަމެވެ.""",,,𝟦𝟫 When visiting the sick,"I ask Almighty Allah, Lord of the Magnificent Throne, to make you well. (Recite seven times in Arabic .)"
149,٥٠ - فَضْلُ عِيَادَةِ المَرِيضِ,١٤٩ - قَالَ النَّبِيُّ ﷺ: ((إِذَا عَادَ الرَّجُلُ أَخَاهُ الْمُسْلِمَ مَشَى فِي خِرَافَةِ الْجَنَّةِ حَتَّى يَجْلِسَ، فَإِذَا جَلَسَ غَمَرَتْهُ الرَّحْمَةُ، فَإِنْ كَانَ غُدْوَةً صَلَّى عَلَيْهِ سَبْعُونَ أَلْفَ مَلَكٍ حَتَّى يُمْسِيَ، وَإِنْ كَانَ مَسَاءً صَلَّى عَلَيْهِ سَبْعُونَ أَلْفَ مَلَكٍ حَتَّى يُصْبِحَ)),𝟧𝟢 - ބަލިމީހާއަށް ޒިޔާރަތްކުރުމުގެ ހެޔޮކަން,"""މުސްލިމުމީހާ، އޭނާގެ ބަލިވެފައިވާ މުސްލިމު އަޚާއަށް ޒިޔާރަތްކުރާ ހިނދު، އިށީނދެއްޖައުމަށް ދާންދެން އޭނާ ހިނގަމުން އެދަނީ ސުވަރުގޭގެ މޭވާތަކުގެ ތެރޭގައެވެ. ދެން ބަލިމީހާގެ ގާތުގައި އޭނާ އިށީންނަ ހިނދު، ރަހުމަތް އޭނާ ފޮރުވައިލައެވެ. ފަހެ އެއީ ހެނދުނުކަމުގައިވާނަމަ، ހަވީރުވަންދެން ހަތްދިހަހާސް މަލާއިކަތުން އޭނާއަށް ރަހުމަތްލެއްވުމަށް އެދި ދުއާކޮށްދެއްވަތެވެ. އަދި އެއީ ހަވީރުކަމުގައިވާނަމަ، ހެނދުނުވަންދެން ހަތްދިހަހާސް މަލާއިކަތުން އޭނާއަށް ރަހުމަތްލެއްވުމަށް އެދި ދުއާކޮށްދެއްވަތެވެ.""",,,𝟧𝟢 Excellence of visiting the sick,"When a man goes to visit his sick Muslim brother, he walks along a path of Paradise until he sits, and when he sits he is cloaked in mercy. If he comes in the morning, seventy thousand angels pray for him until evening, and if he comes in the evening, seventy thousand angels pray for him until morning."
