bodyAR,bodyDV,foot
أما إن كان مأمومًا فإنه يقول عند الرفع: ربنا ولك الحمد إلى آخر ما تقدم، وإن زاد كل واحد منهم -أعني الإمام والمأموم والمنفرد-,"މައުމޫމެއްކަމުގައި އޭނާ ވާނަމަ ދަންނައެވެ. ފަހެ އޭނާ (ރުކޫޢުން) ތެދުވާހިނދުގައި ކިޔާނީ މިހެންނެވެ: (ربنا ولك الحمد) މާނައީ: ""އަޅަމެންގެ ރައްބެވެ. އަދި އިބަ އިލާހަށް ޙަމްދު ހުއްޓޭ"" (މިހެން) ގޮސް އިހު ނަންގަނެވުނު ޙިސާބުގެ ނިޔަލަށެެވެ. އަދި މިތަންކޮޅު އެއިން ކޮންމެ މީހަކު - އެބަހީ: އިމާމްއާއި، މައުމޫމްއާއި އަދި އެކަނި ކުރާ ފަރުދު -، އިތުރު ކޮށްފިނަމަ، އެއީ މިތަންކޮޅެވެ:",
(أهْلَ الثَّنَاءِ والْمجْدِ، أحَقُّ مَا قَالَ العَبْدُ، وكُلُّنَا لَكَ عَبْدٌ: اللَّهُمَّ لَا مَانِعَ لِمَا أعْطَيْتَ، ولَا مُعْطِيَ لِمَا مَنَعْتَ، ولَا يَنْفَعُ ذَا الجَدِّ مِنْكَ الجَدُّ) [9].,"(أهْلَ الثَّنَاءِ والْمجْدِ، أحَقُّ مَا قَالَ العَبْدُ، وكُلُّنَا لَكَ عَبْدٌ: اللَّهُمَّ لَا مَانِعَ لِمَا أعْطَيْتَ، ولَا مُعْطِيَ لِمَا مَنَعْتَ، ولَا يَنْفَعُ ذَا الجَدِّ مِنْكَ الجَدُّ) މާނައީ: ""އޭ އެންމެހާ ޘަނާއަކާއި މަތިވެރިކަމެއް ޙައްޤުވެގެންވާ ފަރާތެވެ! އަޅަކު ދަންނަވާނެ އެންމެ ޙައްޤުވެގެންވާ ބަހަކީ މިއީއެވެ. އަދި އަޅަމެން އެންމެންނީ އިބަ އިލާހަށްވާ އަޅުންތަކެކެވެ: އޭ ﷲ އޭވެ! އިބަ އިލާހު ދެއްވި އެއްޗެއް، މަނާކުރާނޭ ފަރާތެއް ނުވެއެވެ. އަދި އިބަ އިލާހު މަނާކުރެއްވި އެއްޗެއް، ދޭނޭ އެހެންފަރާތެއްވެސް ނުމެވެއެވެ. އަދި އެއްވެސް ޤަދަރުވެރިޔަކަށް ނުވަތަ ނަޞީބުވެރިޔަކަށް، އޭނާގެ ޤަދަރުވެރިކަމުން ނުވަތަ ނަޞީބުވެރިކަމުން، ފައިދާއެއް ނުކޮށްދެވޭނެއެވެ. ޤަދަރުވެރިކަމާއި މަތިކަންވަނީ އިބައިލާހުގެ ޙަޟްރަތުންނެވެ."" (ހަމައެކަނި ފައިދާކޮށްދޭނީ ޞާލިޙު ޢަމަލުންނެވެ.)"" [9]",
فهو حسن لثبوت ذلك عنه.,ފަހެ އެހެން ކިޔުމުންވެސް ރަނގަޅެވެ. އެއީ އެކަލޭގެފާނުގެ އަރިހުން އެހެން ޘާބިތުވެގެންވާތީއެވެ.,
[9] رواه مسلم، برقم (477).,[9] އެޙަދީޘް ރިވާކުރެއްވީ މުސްލިމްއެވެ. އެއީ ނަމްބަރު (477) ގައެވެ.,
ويستحب أن يضع كل منهم - أعني الإمام والمأموم والمنفرد- يديه على صدره كما فعل في قيامه قبل الركوع، لثبوت ما يدل على ذلك عن النبي ﷺ من حديث وائل بن حُجر وسهل بن سعد رضي الله عنهما.,އަދި އެއިން ކޮންމެ މީހަކު - އެބަހީ: އިމާމްއާއި، މައުމޫމް އަދި އެކަނި ކުރާ ފަރުދު -، އޭނާގެ މޭމަތީގައި އޭނާގެ ދެއަތް ބޭއްވުން މުސްތަޙައްބުވެގެންވެއެވެ. އެއީ ރުކޫޢުގެ ކުރިން، އޭނާގެ ޤިޔާމުގައި އޭނާ ކަންތައް ކުޅަ ފަދައިންނެވެ. އެއީ އެކަމުގެ މައްޗަށް ނަބީ ﷺ ގެ އަރިހުން ދަލީލުކޮށްދޭކަން ޘާބިތުވެގެންވާތީއެވެ. އެއީ ވާއިލު ބްނު ޙުޖްރު އަދި ސަހްލު ބްނު ސަޢްދު رضي الله عنهما ގެ ޙަދީޘްއިންނެވެ.,
9- يسجد مكبرًا واضعًا ركبتيه قبل يديه إذا تيسر له ذلك، فإن شق عليه قدم يديه قبل ركبتيه مستقبلًا بأصابع رجليه ويديه القبلة ضامًا أصابع يديه مادًّا لها، ويكون على أعضائه السبعة: الجبهة مع الأنف، واليدين، والركبتين، وبطون أصابع الرجلين، ويقول: سبحان ربي الأعلى، ويسن أن يقول ذلك ثلاثًا أو أكثر، ويستحب أن يقول مع ذلك:,"9- (ދެން) އޭނާ ސަޖިދަ ޖަހާނީއެވެ. (އޭނާ ސަޖިދައަށް ތިރިވާނީ)، ތަކްބީރު ކިޔަމުންނެވެ. އޭނާއަށް ފަސޭހަނަމަ އޭނާގެ ދެއަތް ޖެއްސުމުގެ ކުރިން، އޭނާގެ ދެކަކޫ ޖައްސައިގެންނެވެ. ދެންފަހެ އޭނާގެ މައްޗަށް އެކަން ކުޅައުމަށް ދަތިވެއްޖެނަމަ، އޭނާގެ ދެކަކޫ ޖެއްސުމުގެ ކުރިން، އޭނާގެ ދެއަތް ޖެއްސުން އިސްކުރާނީއެވެ. އެއީ އޭނާގެ ދެފަޔާއި ދެއަތުގެ އިނގިލިތައް ޤިބްލައަށް ކުރިމަތިކޮށްގެންނެވެ. (އަދި) އޭނާގެ އަތުގެ އިނގިލިތައް ލަފާލައި ގާތްކޮށްލާ އަދި ދިގުކޮށްލާ ދަމާލައިގެންނެވެ. އަދި (ސަޖިދަ ޖެހުން ވަނީ)، އޭނާގެ ހަތް ގުނަވަނުގެ މައްޗަށެވެ: ނޭފަތާއި އެކުގައި ނިތްކުރިއެވެ. އަދި ދެއަތެވެ. އަދި ދެކަކުލެވެ. އަދި ދެފައިގެ އިނގިލިތަކުގެ ބަނޑުފުށެވެ. އަދި އޭނާ މިހެން ކިޔާނީއެވެ: (سبحان ربي الأعلى) މާނައީ: ""މިއަޅާގެ އެންމެ މަތިވަރި (އެންމެ މަތީގައިވާ) ރައްބުގެ ހުސްޠާހިރުވަންތަ ކަމާއެވެ!"" އަދި ތިން ފަހަރު ނުވަތަ އެއަށްވުރެ ގިނައިން އެހެން ކިޔުން ސުންނަތް ވެގެންވެއެވެ. އަދި އެއާއެކުގައި މިފަދައިން ކިޔުން މުސްތަޙައްބުވެގެންވެއެވެ:",
(سُبْحانَكَ اللَّهُمَّ رَبَّنا وبِحَمْدِكَ، اللَّهُمَّ اغْفِرْ لِي)،,"(‌سُبْحَانَكَ ‌اللهُمَّ ‌وَبِحَمْدِكَ، ‌اللهُمَّ ‌اغْفِرْ ‌لِي) މާނައި: ""އިބަ އިލާހުގެ ހުސްޠާހިރުވަންތަކަމާއެވެ! އޭ ﷲ އޭވެ! އަދި އިބަ އިލާހަށް އެންމެހާ ޙަމްދެއް ކުރުމާއެކުގައެވެ. އޭ ﷲ އެވެ! މިއަޅާއަށް (ފާފަ) ފުއްސަވާނދޭވެ!""",
ويكثر من الدعاء لقول النبي ﷺ:,އަދި ދުޢާކުރުން ގިނަ ކުރާނީއެވެ. އެއީ ނަބީ ﷺ ގެ ބަސްފުޅަށްޓަކައެވެ:,
(‌أَمَّا ‌الرُّكُوعُ، ‌فَعَظِّمُوا ‌فِيهِ ‌الرَّبَّ، وَأَمَّا السُّجُودُ، فَاجْتَهِدُوا فِي الدُّعَاءِ، فَقَمِنٌ أَنْ يُسْتَجَابَ لَكُمْ) [10].,"(‌أَمَّا ‌الرُّكُوعُ، ‌فَعَظِّمُوا ‌فِيهِ ‌الرَّبَّ، وَأَمَّا السُّجُودُ، فَاجْتَهِدُوا فِي الدُّعَاءِ، فَقَمِنٌ أَنْ يُسْتَجَابَ لَكُمْ) މާނައީ: ""ރުކޫޢުގައި ދަންނައެވެ. ފަހެ (ރުކޫޢުގައި) ރައްބުގެ އަރަހުށިކަން ބޮޑު ކުރާށެވެ. އަދި ސަޖިދާގައި ދަންނައެވެ. ފަހެ (ސަޖިދާގައި) ގަދައަޅާ ދުޢާ ކުރާށެވެ. ފަހެ އެހެނީ ތިޔަބައިމީހުންނަށް އިޖާބަވުން ގާތްވެ ޙައްޤުވެގެންވެއެވެ."" [10]",
[10] رواه مسلم، برقم (479).,[10] އެޙަދީޘް ރިވާކުރެއްވީ މުސްލިމްއެވެ. އެއީ ނަމްބަރު (479) ގައެވެ.,
ويسأل ربه من خير الدنيا والآخرة،,އަދި ދުނިޔެއާއި އާޚިރަތުގެ ހެވަށް އެދި އޭނާގެ ރައްބަށް ދަންނަވާށެވެ.,
سواء كانت الصلاة فرضًا أو نفلًا، ويجافي عضديه عن جنبيه وبطنه عن فخذيه، وفخذيه عن ساقيه، ويرفع ذراعيه عن الأرض لقول النبي ﷺ:,އެއީ އެނަމާދަކީ ފަރްޟު ނުވަތަ ސުންނަތް ނަމާދަކަށް ވިޔަސްމެއެވެ. އަދި (ސަޖިދާގައި އޮންނައިރު) އޭނާގެ ދެމުލައްދަނޑި، އޭނާގެ ދެއަރިކަށްޓާ ދުރުކުރާނީއެވެ. އަދި އޭނާގެ ބަނޑު، އޭނާގެ ދެފަލަމަސްގަނޑާ ދުރުކުރާނީއެވެ. އަދި އޭނާގެ ދެފަލަމަސްގަނޑު އޭނާގެ ދެފައިދަނޑިއާވެސް ދުރުކުރާނީއެވެ. އަދި އޭނާގެ ދެއަތްދަނޑި، ބިމުން މައްޗަށް އުފުލާނީއެވެ. އެއީ ނަބީ ﷺ ގެ ބަސްފުޅަށްޓަކައެވެ:,
(اعْتَدِلُوا في السُّجُودِ، ولَا يَبْسُطْ أحَدُكُمْ ذِرَاعَيْهِ انْبِسَاطَ الكَلْبِ) [11].,"(اعْتَدِلُوا في السُّجُودِ، ولَا يَبْسُطْ أحَدُكُمْ ذِرَاعَيْهِ انْبِسَاطَ الكَلْبِ) މާނައީ: ""ތިޔަބައިމީހުން ސަޖިދާގައި ސީދާ ވާށެވެ. އަދި ކުއްތާ ބިންމަތީގައި ދެއަތްދަނޑި ދަމާ ފަތުރާ ގޮތަށް، ތިޔަބައިމީހުން ކުރެ މީހަކުގެ ދެއަތްދަނޑި ދަމާ ނުފަތުރާށެވެ."" [11]",
[11] رواه البخاري، برقم (788)، ومسلم، برقم (493).,[11] އެޙަދީޘް ރިވާކުރެއްވީ އަލް-ބުޚާރީއެވެ. އެއީ ނަމްބަރު (788) ގައެވެ. އަދި މުސްލިމްއެވެ. އެއީ ނަމްބަރު (493) ގައެވެ.,
10- يرفع رأسه مكبرًا ويفرش قدمه اليسرى ويجلس عليها، وينصب رجله اليمنى ويضع يديه على فخذيه وركبتيه، ويقول:,10- ތަކްބީރު ކިޔަމުން، ސަޖިދައިން (ތެދުވަން) އޭނާގެ ބޯ އުފުލާނީއެވެ. އަދި އޭނާގެ ވައަތު ފައި ހުރަހަށް ފަތުރައި އަދި އެފައިގެ މަތީގައި އިށީންނާނީއެވެ. އަދި އޭނާގެ ކަނާއަތު ފައި ދިގަށް ކޮޅަށްޖަހައި، އަދި އޭނާގެ ދެއަތް އޭނާގެ ދެފަލަމަސްގަނޑާއި ދެކަކޫމަތީގައި ބާއްވާނީއެވެ. އަދި އޭނާ ކިޔާނީއެވެ:,މިއިށީންނުމަށް ކިޔަނީ، އިފްތިރާޝްކޮށް އިށީންނުމެވެ. އެއީ: ވައަތު ފައިތިލަ ހުރަހަށް އަރިއަކަށް ބާއްވައި، އެފައިތިލަ މަތީގައި ފޫކޮޅު މަސްގަނޑު ބައިންދައި އިށީނދެ އިނުމާއެކު، ކަނާއަތު ފައިތިލަ އަރިމަތީގައި ދިގަށް ކޮޅަށް، ފުންނާބު މައްޗަށް ހުންނަގޮތަށް ބިންމަތީގައި ވިއްދައިގެން އިށީނދެގެން އިނުމެވެ.
(رَبِّ اغْفِرْ لِي وَارْحَمْنِي وَاهْدِنِي وَارْزُقْنِي وَعَافِنِي وَاجْبُرْنِي) [12].,"(رَبِّ اغْفِرْ لِي وَارْحَمْنِي وَاهْدِنِي وَارْزُقْنِي وَعَافِنِي وَاجْبُرْنِي) މާނައީ: ""މިއަޅާގެ ރައްބެވެ. މިއަޅާއަށް ފާފަ ފުއްސަވާނދޭވެ! އަދި މިއަޅާއަށް ރަޙްމަތް ލައްވާނދޭވެ. އަދި މިއަޅާއަށް ހިދާޔަތް ދައްކަވާނދޭވެ! އަދި މިއަޅާއަށް ރިޒްޤުދެއްވާނދޭވެ! އަދި މިއަޅާއަށް ޢާފިޔަތް ދެއްވާނދޭވެ! އަދި މިއަޅާގެ އުނިކަންތައް ފޫބައްދަވާ އާރުވެރިކަން ދެއްވާނދޭވެ!"" [12]",
ويطمئن في هذا الجلوس.,އަދި އޭނާގެ މި އިށީންނުމުގައި، ހަމަޖެހިލައި މަޑުޖެހިލާނީއެވެ.,
[12] رواه الترمذي، برقم (284) ، وأبو داود، برقم(850) ، وابن ماجه، برقم (898) .,[12] އެޙަދީޘް ރިވާކުރެއްވީ އައް-ތިރްމިޛީއެވެ. އެއީ ނަމްބަރު (248) ގައެވެ. އަދި އަބޫ ދާވޫދުއެވެ. އެއީ ނަމްބަރު (850) ގައެވެ. އަދި އިބްނު މާޖަހްއެވެ. އެއީ ނަމްބަރު (898) ގައެވެ.,
11- يسجد السجدة الثانية مكبرًا، ويفعل فيها كما فعل في السجدة الأولى.,11- (ދެން) އޭނާ ތަކްބީރު ކިޔަމުން ދެވަނަ ސަޖިދަ ޖަހާނީއެވެ. އަދި އެސަޖިދާގައި، ފުރަތަމަ ސަޖިދާގައި އޭނާ ކަންތައް ކުޅަ ގޮތަށް ކަންތައް ކުރާނީއެވެ.,
12- يرفع رأسه مكبرًا ويجلس جلسة خفيفة كالجلسة بين السجدتين، وتسمى جلسة الاستراحة، وهي مستحبة، وإن تركها فلا حرج عليه، وليس فيها ذكر ولا دعاء، ثم ينهض قائمًا إلى الركعة الثانية معتمدًا على ركبتيه إن تيسر له ذلك، وإن شق عليه اعتمد على الأرض، ثم يقرأ الفاتحة وما تيسر له من القرآن بعد الفاتحة، ثم يفعل كما فعل في الركعة الأولى.,12- (ދެން) އޭނާ ތަކްބީރު ކިޔަމުން ބޯ އުފުލައި ތެދުވާނީއެވެ. އަދި ދެސަޖިދަ ދެމެދުގައި އިށީނދެގެން އިންފަދައިން، ލުއި އިށީންނުމެއް އިށީންނާނީއެވެ. އަދި އެ އިށީންނުމަށް ކިޔެނީ ރާޙަތުގެ ނުވަތަ އަރާމުކޮށްލުމުގެ އިށީންނުމެވެ. އަދި އެކަން މުސްތަޙައްބެވެ. އަދި އެކަން ނުކޮށް ދޫކޮށްލިޔަސް މައްސަލައެއް ނެތެވެ. އެއިށީންނުމުގައި އެއްވެސް ޛިކުރެއް އަދި ދުޢާއެއްވެސް ނެތެވެ. ދެން އޭނާ ދެވަނަ ރަކްޢަތަށް ކޮޅަށް ތެދުވާނީއެވެ. ފަސޭހަނަމަ އޭނާގެ ދެކަކުލުގެ މައްޗަށް ބަރޯސާވެގެންނެވެ. އޭނާއަށް އެކަން އުނދަގޫނަމަ، ބިން މައްޗަށް ބަރޯސާވެގެންނެވެ. (ބިންމަތީ ދެ އަތް ވިއްދާފައިއެވެ.) ދެން އޭނާ ފާތިޙާ (ސޫރަތް) ކިޔަވާނީއެވެ. އަދި ފާތިޙާއަށް ފަހުގައި، ޤުރްއާނުން އޭނާއަށް ފަސޭހަވީ ވަރެއް ކިޔަވާނީއެވެ. ދެން ފުރަތަމަ ރަކްޢަތުގައި އޭނާ ކަންތައް ކުޅަ ގޮތަށް، ކަންތައް ކުރާނީއެވެ.,ދެކަކުލުގެ މައްޗަށް ބަރޯސާވުމަކީ، ދެއަތް ދެކަކުލުގައި އަޅައި ތެދުވުމެވެ. އަދި ބިން މައްޗަށް ބަރޯސާވުމަކީ، ދެއަތް ބިން މަތީގައި އަޅައި ތެދުވުމެވެ.
13- إذا كانت الصلاة ثنائية- أي ركعتين- كصلاة الفجر والجمعة والعيدين جلس بعد رفعه من السجدة الثانية ناصبًا رجله اليمنى، مفترشًا رجله اليسرى، واضعًا يده اليمنى على فخذه اليمنى، قابضًا أصابعه كلها إلا السبابة فيشير بها إلى التوحيد، وإن قبض الخنصر والبنصر من يده اليمنى وحلق إبهامها مع الوسطى وأشار بالسبابة فحسن؛ لثبوت الصفتين عن النبي ﷺ، والأفضل أن يفعل هذا تارة وهذا تارة، ويضع يده اليسرى على فخذه اليسرى وركبته، ثم يقرأ التشهد في هذا الجلوس، وهو:,13- އެނަމާދަކީ ފަތިހާއި ހުކުރާއި އަދި ދެޢީދު ނަމާދުފަދަ ދެރަކްޢަތުގެ ނަމާދެއްނަމަ، (ދެވަނަ ރަކްޢަތުގެ) ދެވަނަ ސަޖިދައިން ތެދުވުމަށްފަހުގައި، އޭނާގެ ކަނާއަތު ފައި ދިގަށް ކޮޅަށްޖަހައިގެން އިށީންނާނީއެވެ. އަދި އޭނާގެ ވައަތު ފައި ހުރަހަށް ފަތުރާލައިގެން، އޭނާގެ ކަނާއަތް، އޭނާގެ ކަނާއަތު ފަލަމަސްގަނޑު މަތީގައި ބާއްވައިގެންނެވެ. އަދި ޝަހާދަތް އިނގިލި ފިޔަވައި، އޭނާގެ ހުރިހާ އިނގިލިތައް މަޅައިގެންނެވެ. ފަހެ ޝަހާދަތް އިނގިލިން ތަޥްޙީދަށް އިޝާރާތް ކުރާނީއެވެ. އަދި އޭނާގެ ކަނާއަތުގެ ކުޑަވާ އިނގިއްޔާއި ކަށި އިނގިލި މަޅައިގެން، ކަނާއަތުގެ ބޮޑުވާ އިނގިއްޔާ އެކީގައި މެދު އިނގިލިން ބޮޅެއް ހަދައިގެން، އަދި ޝަހާދަތް އިނގިލިން އިޝާރާތް ކޮށްފިނަމަ، ފަހެ (އެގޮތްވެސް) އެންމެ ރަނގަޅެވެ. އެއީ އެ ދެޞިފަވެސް ނަބީ ﷺ ގެ އަރިހުން ޘާބިތުވެގެންވާތީއެވެ. އަދި އެންމެ މޮޅުއިތުރީ، އެއްފަހަރު މިހެން ހަދާފައި އަދި އަނެއްފަހަރު އެހެން ހެދުމެވެ. އަދި އޭނާގެ ވައަތް، އޭނާގެ ވައަތު ފަލަމަސްގަނޑާއި ކަކުލުގެ މަތީގައި ބާއްވާނީއެވެ. ދެން އޭނާ މި އިށީންނުމުގައި އައް-ތަޝައްހުދު ކިޔާނީއެވެ. އަދި އެއީ:,އައް-ތަޝައްހުދު އަކީ: އައް-ތަޙިއްޔާތުއެވެ. އައް-ތަޙިއްޔާތު ކިޔެނީ އެއިށީނދުމުގައި ކިޔޭ ދުޢާއަށް ނިސްބަތް ކޮށެވެ. އައް-ތަޝައްހުދުވެސް އެފަދައެވެ.
(التَّحِيَّاتُ لله والصَّلَوَاتُ والطَّيِّبَاتُ، السَّلَامُ عَلَيْكَ أيُّها النبيُّ ورَحْمَةُ الله وبَرَكَاتُهُ، السَّلَامُ عَلَيْنَا وعلَى عِبَادِ الله الصَّالِحِينَ، أشْهَدُ أنْ لا إلَهَ إلَّا الله وأَشْهَدُ أنَّ مُحَمَّدًا عَبْدُهُ ورَسولُهُ)،,"(التَّحِيَّاتُ لله والصَّلَوَاتُ والطَّيِّبَاتُ، السَّلَامُ عَلَيْكَ أيُّها النبيُّ ورَحْمَةُ الله وبَرَكَاتُهُ، السَّلَامُ عَلَيْنَا وعلَى عِبَادِ الله الصَّالِحِينَ، أشْهَدُ أنْ لا إلَهَ إلَّا الله وأَشْهَدُ أنَّ مُحَمَّدًا عَبْدُهُ ورَسولُهُ) މާނައީ: ""ތަޙިއްޔާތުތަކާއި (ދުލުން ކުރެވޭ އެންމެހާ އަޅުކަންތަކާއި)، ޞަލަވާތުތަކާއި (ހަށިގަނޑުން ކުރެވޭ އެންމެހާ އަޅުކަންތަކާއި) އަދި ޠައްޔިބާތުތަކުން (މުދަލުން ކުރެވޭ އެންމެހާ އަޅުކަންތައް) ވަނީ، ﷲ އަށެވެ. އޭ ނަބީކަލޭގެފާނުއެވެ! ކަލޭގެފާނުގެ މައްޗަށް ސަލާމާއި އަދި ﷲ ގެ ރަޙްމަތާއި އެއިލާހުގެ ބަރަކާތް ހުއްޓެވެ. އަދި އަޅަމެންގެ މައްޗަށާއި އަދި ﷲ ގެ އެންމެހާޞާލިޙު އަޅުތަކުންގެ މައްޗަށް ސަލާމް ހުއްޓެވެ. ﷲ މެނުވީ (އަޅުކަންވެވުން ޙައްޤުވެގެންވާ) އެހެން އެއްވެސް އިލާހަކު ނުވާކަމަށް މިއަޅާ ހެކިވަމެވެ. އަދި މުޙައްމަދުގެފާނީ، އެއިލާހުގެ އަޅާ އަދި އެއިލާހުގެ ރަސޫލުކަމުގައިވެސް މިއަޅާ ހެކިވަމެވެ.""",
ثم يقول:,ދެން އޭނާ ކިޔާނީއެވެ:,
(اللَّهُمَّ صَلِّ علَى مُحَمَّدٍ وعلَى آلِ مُحَمَّدٍ، كما صَلَّيْتَ علَى إبْرَاهِيمَ وعلَى آلِ إبْرَاهِيمَ؛ إنَّكَ حَمِيدٌ مَجِيدٌ، وَبَارِكْ علَى مُحَمَّدٍ وعلَى آلِ مُحَمَّدٍ، كما بَارَكْتَ علَى إبْرَاهِيمَ وعلَى آلِ إبْرَاهِيمَ؛ إنَّكَ حَمِيدٌ مَجِيدٌ) [13].,"(اللَّهُمَّ صَلِّ علَى مُحَمَّدٍ وعلَى آلِ مُحَمَّدٍ، كما صَلَّيْتَ علَى إبْرَاهِيمَ وعلَى آلِ إبْرَاهِيمَ؛ إنَّكَ حَمِيدٌ مَجِيدٌ، وَبَارِكْ علَى مُحَمَّدٍ وعلَى آلِ مُحَمَّدٍ، كما بَارَكْتَ علَى إبْرَاهِيمَ وعلَى آلِ إبْرَاهِيمَ؛ إنَّكَ حَمِيدٌ مَجِيدٌ) މާނައީ: ""އޭ ﷲ އޭވެ! މުޙައްމަދުގެފާނުގެ މައްޗަށާއި މުޙައްމަދުގެފާނުގެ އާލުންގެ މައްޗަށް ޞަލަވާތް ލައްވާށިއެވެ. އެއީ އިބްރާހީމުގެފާނުގެ މައްޗަށާއި އިބްރާހީމުގެފާނުގެ އާލުންގެ މައްޗަށް، އިބަ އިލާހު ޞަލަވާތް ލެއްވި ފަދައިންނެވެ. ހަމަކަށަވަރުން އިބަ އިލާހީ، ގިނަގިނައިން ޙަމްދު ޙައްޤުވެ ޙަމްދު ކުރެވިގެންވާ، މަތިވެރި މާތްވެގެންވާ އިލާހެވެ. އަދި މުޙައްމަދުގެފާނުގެ މައްޗަށާއި މުޙައްމަދުގެފާނުގެ އާލުންގެ މައްޗަށް ބަރަކާތް ލައްވާށިއެވެ. އެއީ އިބްރާހީމުގެފާނުގެ މައްޗަށާއި އިބްރާހީމުގެފާނުގެ އާލުންގެ މައްޗަށް އިބަ އިލާހު ބަރަކާތް ލެއްވި ފަދައިންނެވެ. ހަމަކަށަވަރުން އިބަ އިލާހީ، ގިނަގިނައިން ޙަމްދު ޙައްޤުވެ ޙަމްދު ކުރެވިގެންވާ، މަތިވެރި މާތްވެގެންވާ އިލާހެވެ."" [13]",
[13] رواه البخاري، برقم (797) ، ومسلم، برقم (402).,[13] އެޙަދީޘް ރިވާކުރެއްވީ އަލް-ބުޚާރީއެވެ. އެއީ ނަމްބަރު (797) ގައެވެ. އަދި މުސްލިމުއެވެ. އެއީ ނަމްބަރު (402) ގައެވެ.,
ويستعيذ بالله من أربع، فيقول:,އަދި ހަތަރު ކަމަކުން، ﷲ ގެ ޙަޟްރަތުން އޭނާ ރައްކާތެރިކަމަށް އެދޭނީއެވެ. އެގޮތުން އޭނާ މިހެން ކިޔާނީއެވެ:,
( اللَّهُمَّ إنِّي أَعُوذُ بِكَ مِن عَذَابِ جَهَنَّمَ، وَمِنْ عَذَابِ القَبْرِ، وَمِنْ فِتْنَةِ المَحْيَا وَالْمَمَاتِ، وَمِنْ شَرِّ فِتْنَةِ المَسِيحِ الدَّجَّالِ) [14].,"(اللَّهُمَّ إنِّي أَعُوذُ بِكَ مِن عَذَابِ جَهَنَّمَ، وَمِنْ عَذَابِ القَبْرِ، وَمِنْ فِتْنَةِ المَحْيَا وَالْمَمَاتِ، وَمِنْ شَرِّ فِتْنَةِ المَسِيحِ الدَّجَّالِ) މާނައީ: ""އޭ ﷲ އޭވެ! ޖަހަންނަމައިގެ ޢަޛާބުންނާއި، ޤަބްރުގެ ޢަޛާބުންނާއި، ދިރިހުރުމާއި މަރުވުމުގެ ފިތުނައިންނާއި، އަލް-މަސީޙު އައް-ދައްޖާލުގެ ފިތުނައިގެ ނުބައިކަމުން ރައްކާތެރި ކޮށްދެއްވުމަށް އެދި އިބަ އިލާހަށް މިއަޅާ ދަންނަވަމެވެ."" [14]",
[14] رواه البخاري، برقم (1311) ، ومسلم، برقم (588).,[14] އެޙަދީޘް ރިވާކުރެއްވީ އަލް-ބުޚާރީއެވެ. އެއީ ނަމްބަރު (1311) ގައެވެ. އަދި މުސްލިމުއެވެ. އެއީ ނަމްބަރު (588) ގައެވެ.,
ثم يدعو بما يشاء من خير الدنيا والآخرة، وإذا دعا لوالديه أو غيرهما من المسلمين فلا بأس- سواء كانت الصلاة فريضة أو نافلة-؛ لعموم قول النبي ﷺ في حديث ابن مسعود رضي الله عنه لما علمه التشهد:,ދެން ދުނިޔެއާއި އާޚިރަތުގެ ހެޔޮކަމުން އޭނާ އެދޭކަމަކަށް ދުޢާކުރާނީއެވެ. އަދި އޭނާގެ މައިންބަފައިންނަށް، ނުވަތަ މުސްލިމުންގެ ތެރެއިންވާ އެހެން ބަޔަކަށް ދުޢާކުރުމަކުން، ފަހެ މައްސަލައެއް ނެތެވެ. - އެއީ ފަރްޟު ނަމާދެއްގައިވިޔަސް ސުންނަތް ނަމާދެއްގައިވިޔަސް މެއެވެ. - އެއީ ނަބީ ﷺ ބަސްފުޅުގެ ޢުމޫމަށް (ޢާއްމު ލަފްޡަށް) ބަލައެވެ. އެއީ އިބްނު މަސްޢޫދު رضي الله عنه ގެ ޙަދީޘްގައި، އެކަލޭގެފާނު އެބޭފުޅާއަށް އައް-ތަޝައްހުދު އުނގަންނަވައި ދެއްވި ހިނދު ޙަދީޘްކުރެއްވިއެވެ:,
(ثُمَّ ‌لِيَتَخَيَّرْ ‌مِنَ ‌الدُّعَاءِ بَعْدُ أَعْجَبَهُ إِلَيْهِ فَيَدْعُو) [15].,"(ثُمَّ ‌لِيَتَخَيَّرْ ‌مِنَ ‌الدُّعَاءِ بَعْدُ أَعْجَبَهُ إِلَيْهِ فَيَدْعُو) މާނައީ: ""ދެން އެއަށްފަހުގައި، ދުޢާތަކުން އޭނާއަށް ކަމުދާ ދުޢާތައް އޭނާ އިޚްތިޔާރުކޮށް ދުޢާކުރާހުށިކަމެވެ."" [15]",
وفي لفظ آخر:,އަދި އެހެން ލަފްޡެއްގައި ވެއެވެ:,
(‌ثُمَّ ‌لِيَخْتَرْ ‌مِنْ ‌الْمَسْأَلَةِ ‌مَا ‌شَاءَ) [16].,"(‌ثُمَّ ‌لِيَخْتَرْ ‌مِنْ ‌الْمَسْأَلَةِ ‌مَا ‌شَاءَ) މާނައީ: ""ދެން އޭނާ ސުވާލުކޮށް އެދި ދެންނެވުމަށް އޭނާ ބޭނުންކަމެއް އިޚްތިޔާރުކުރާހުށިކަމެވެ."" [16]",
[15] رواه النسائي، برقم (1298).,[15] އެޙަދީޘް ރިވާކުރެއްވީ އައް-ނަސާއީއެވެ. އެއީ ނަމްބަރު (1298) ގައެވެ.,
